,0,1,2,3,4,5
0,16160,2023,VNL,Pool 4 - Week 2 - Men #33,Japan,Canada
0,16161,2023,VNL,Pool 3 - Week 2 - Men #34,Iran,Germany
0,16162,2023,VNL,Pool 3 - Week 2 - Men #35,USA,Serbia
0,16163,2023,VNL,Pool 4 - Week 2 - Men #36,Argentina,Slovenia
0,16164,2023,VNL,Pool 3 - Week 2 - Men #37,Netherlands,China
0,16165,2023,VNL,Pool 4 - Week 2 - Men #38,Brazil,Bulgaria
0,16166,2023,VNL,Pool 4 - Week 2 - Men #39,Japan,Cuba
0,16167,2023,VNL,Pool 3 - Week 2 - Men #40,Iran,Italy
0,16168,2023,VNL,Pool 3 - Week 2 - Men #41,USA,China
0,16169,2023,VNL,Pool 4 - Week 2 - Men #42,Slovenia,Canada
0,16170,2023,VNL,Pool 3 - Week 2 - Men #43,Germany,Poland
0,16171,2023,VNL,Pool 4 - Week 2 - Men #44,Argentina,France
0,16172,2023,VNL,Pool 4 - Week 2 - Men #45,Japan,Brazil
0,16173,2023,VNL,Pool 3 - Week 2 - Men #46,China,Italy
0,16174,2023,VNL,Pool 3 - Week 2 - Men #47,Serbia,Germany
0,16175,2023,VNL,Pool 4 - Week 2 - Men #48,Canada,Bulgaria
0,16176,2023,VNL,Pool 3 - Week 2 - Men #49,Netherlands,Poland
0,16177,2023,VNL,Pool 4 - Week 2 - Men #50,Slovenia,Cuba
0,16178,2023,VNL,Pool 4 - Week 2 - Men #51,Argentina,Bulgaria
0,16179,2023,VNL,Pool 3 - Week 2 - Men #52,Iran,USA
0,16180,2023,VNL,Pool 3 - Week 2 - Men #53,Serbia,Italy
0,16181,2023,VNL,Pool 4 - Week 2 - Men #54,France,Cuba
0,16182,2023,VNL,Pool 4 - Week 2 - Men #55,Japan,Argentina
0,16183,2023,VNL,Pool 3 - Week 2 - Men #56,Poland,USA
0,16184,2023,VNL,Pool 4 - Week 2 - Men #57,Brazil,Slovenia
0,16185,2023,VNL,Pool 3 - Week 2 - Men #58,Netherlands,Iran
0,16186,2023,VNL,Pool 4 - Week 2 - Men #59,Canada,France
0,16187,2023,VNL,Pool 3 - Week 2 - Men #60,China,Germany
0,16188,2023,VNL,Pool 3 - Week 2 - Men #61,Italy,Poland
0,16189,2023,VNL,Pool 4 - Week 2 - Men #62,Bulgaria,Cuba
0,16190,2023,VNL,Pool 3 - Week 2 - Men #63,Netherlands,Serbia
0,16191,2023,VNL,Pool 4 - Week 2 - Men #64,Brazil,France
0,16192,2023,VNL,Pool 6 - Week 3 - Men #65,Brazil,Italy
0,16193,2023,VNL,Pool 6 - Week 3 - Men #66,Japan,China
0,16194,2023,VNL,Pool 5 - Week 3 - Men #67,Argentina,Serbia
0,16195,2023,VNL,Pool 5 - Week 3 - Men #68,Iran,France
0,16196,2023,VNL,Pool 6 - Week 3 - Men #69,Canada,Netherlands
0,16197,2023,VNL,Pool 6 - Week 3 - Men #70,Poland,Slovenia
0,16198,2023,VNL,Pool 5 - Week 3 - Men #71,Germany,Bulgaria
0,16199,2023,VNL,Pool 5 - Week 3 - Men #72,USA,Cuba
0,16200,2023,VNL,Pool 6 - Week 3 - Men #73,Brazil,Netherlands
0,16201,2023,VNL,Pool 6 - Week 3 - Men #74,Canada,Italy
0,16202,2023,VNL,Pool 6 - Week 3 - Men #75,China,Slovenia
0,16203,2023,VNL,Pool 5 - Week 3 - Men #76,Argentina,Germany
0,16204,2023,VNL,Pool 5 - Week 3 - Men #77,Serbia,Cuba
0,16205,2023,VNL,Pool 5 - Week 3 - Men #78,Bulgaria,Iran
0,16206,2023,VNL,Pool 6 - Week 3 - Men #79,Poland,Brazil
0,16207,2023,VNL,Pool 6 - Week 3 - Men #80,Slovenia,Italy
0,16208,2023,VNL,Pool 6 - Week 3 - Men #81,Japan,Netherlands
0,16209,2023,VNL,Pool 5 - Week 3 - Men #82,Serbia,France
0,16210,2023,VNL,Pool 5 - Week 3 - Men #83,Cuba,Germany
0,16211,2023,VNL,Pool 5 - Week 3 - Men #84,USA,Argentina
0,16212,2023,VNL,Pool 6 - Week 3 - Men #85,Brazil,China
0,16213,2023,VNL,Pool 6 - Week 3 - Men #86,Poland,Canada
0,16214,2023,VNL,Pool 6 - Week 3 - Men #87,Japan,Italy
0,16215,2023,VNL,Pool 5 - Week 3 - Men #88,Bulgaria,Serbia
0,16216,2023,VNL,Pool 5 - Week 3 - Men #89,Argentina,Iran
0,16217,2023,VNL,Pool 5 - Week 3 - Men #90,USA,France
0,16218,2023,VNL,Pool 6 - Week 3 - Men #91,China,Canada
0,16219,2023,VNL,Pool 6 - Week 3 - Men #92,Slovenia,Netherlands
0,16220,2023,VNL,Pool 6 - Week 3 - Men #93,Japan,Poland
0,16221,2023,VNL,Pool 5 - Week 3 - Men #94,Cuba,Iran
0,16222,2023,VNL,Pool 5 - Week 3 - Men #95,France,Germany
0,16223,2023,VNL,Pool 5 - Week 3 - Men #96,USA,Bulgaria
0,16224,2023,VNL,Quarter-finals - Final Round - Men #97,USA,France
0,16225,2023,VNL,Quarter-finals - Final Round - Men #98,Italy,Argentina
0,16226,2023,VNL,Quarter-finals - Final Round - Men #99,Japan,Slovenia
0,16227,2023,VNL,Quarter-finals - Final Round - Men #100,Poland,Brazil
0,16228,2023,VNL,Semi-finals - Final Round - Men #101,Japan,Poland
0,16229,2023,VNL,Semi-finals - Final Round - Men #102,USA,Italy
0,16230,2023,VNL,3rd Place - Final Round - Men #103,Japan,Italy
0,16231,2023,VNL,Final - Final Round - Men #104,Poland,USA
0,18853,2024,VNL,Pool 1 - Week 1 - Men #1,Bulgaria,France
0,18854,2024,VNL,Pool 1 - Week 1 - Men #2,Türkiye,Canada
0,18855,2024,VNL,Pool 2 - Week 1 - Men #3,Argentina,Japan
0,18856,2024,VNL,Pool 2 - Week 1 - Men #4,Cuba,Brazil
0,18857,2024,VNL,Pool 1 - Week 1 - Men #5,Netherlands,Slovenia
