,0,1,2,3
1,11815,France,2,21
2,11815,France,3,22
3,11815,France,4,25
4,11815,France,5,15
5,11815,Poland,1,22
6,11815,Poland,2,25
7,11815,Poland,3,25
8,11815,Poland,4,20
9,11815,Poland,5,11
0,11816,Iran,1,31
1,11816,Iran,2,23
2,11816,Iran,3,32
3,11816,Iran,4,18
4,11816,Argentina,1,33
5,11816,Argentina,2,25
6,11816,Argentina,3,30
7,11816,Argentina,4,25
0,11817,Slovenia,1,25
1,11817,Slovenia,2,25
2,11817,Slovenia,3,25
3,11817,Bulgaria,1,23
4,11817,Bulgaria,2,16
5,11817,Bulgaria,3,18
0,11818,Italy,1,25
1,11818,Italy,2,24
2,11818,Italy,3,25
3,11818,Italy,4,21
4,11818,Italy,5,15
5,11818,Germany,1,12
6,11818,Germany,2,26
7,11818,Germany,3,22
8,11818,Germany,4,25
9,11818,Germany,5,13
0,11819,Brazil,1,21
1,11819,Brazil,2,26
2,11819,Brazil,3,20
3,11819,Russia,1,25
4,11819,Russia,2,28
5,11819,Russia,3,25
0,11820,Brazil,1,25
1,11820,Brazil,2,25
2,11820,Brazil,3,25
3,11820,France,1,20
4,11820,France,2,18
5,11820,France,3,19
0,11821,Poland,1,25
1,11821,Poland,2,25
2,11821,Poland,3,25
3,11821,Slovenia,1,22
4,11821,Slovenia,2,21
5,11821,Slovenia,3,23
0,11822,France,1,25
1,11822,France,2,25
2,11822,France,3,25
3,11822,Slovenia,1,20
4,11822,Slovenia,2,18
5,11822,Slovenia,3,19
0,11823,Brazil,1,22
1,11823,Brazil,2,25
2,11823,Brazil,3,25
3,11823,Brazil,4,25
4,11823,Poland,1,25
5,11823,Poland,2,23
6,11823,Poland,3,16
7,11823,Poland,4,14
0,13650,China,1,15
1,13650,China,2,25
2,13650,China,3,22
3,13650,China,4,15
4,13650,Iran,1,25
5,13650,Iran,2,19
6,13650,Iran,3,25
7,13650,Iran,4,25
0,13651,Slovenia,1,19
1,13651,Slovenia,2,19
2,13651,Slovenia,3,14
3,13651,USA,1,25
4,13651,USA,2,25
5,13651,USA,3,25
0,13652,Bulgaria,1,25
